  (Steiner Minimal Tree:  10 points,  length = 1.716080848631908,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.980952114583377,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.001200966323523,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.905459354586912,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.998965836002043,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.210026370783209,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.102461920997318,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.929261619631862,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.138516138571979,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.297696873640516,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.259469270934284,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.809597329376374,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.567861379714671,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.978336459593116,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.058446615313125,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.119112867503490,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.723706424973949,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.073823174971765,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.059375444709264,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.674814102546416,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.390227625802600,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.395868580935261,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.746776078912169,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.240072710872251,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.109002454262076,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.783087252577497,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.069975340212401,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.257655336907193,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.067836585209241,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.320933396522490,  0.01 seconds)
